id,argument,label,set,topic
0,"Bottled water is not our biggest problem when it comes to drinking habits. All other beverages consume huge amounts of water and energy during their production processes, which makes their ecological impact far more detrimental than that of bottled water. http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address;=103x347180",0.9922554269591756,train,ban-plastic-water-bottles
1,although i voted for evolution... creation is easier to accept due to the fact that someone somewhere had to change aspects of the universe in order for us to exist.,0.9903264812575574,train,evolution-vs-creation
2,"They say FF loads faster than IE, but 9 times out of 10, someone who had just installed FF will experience slower program load times than loading up IE.",0.9871019750100768,train,firefox-vs-internet-explorer
3,"the one whom bestows life, is the one whom bestows death",0.8643692059653366,train,pro-choice-vs-pro-life
4,"All we can say is a big IF because we are not yet 100% sure if this nation itself could lead the whole world. Who knows maybe in the future that India could fail to lead us. There are still other countries who are more progressive, more literated, more powerful than India, like the USA, United Kingdom, Russia, Japan, etc. This nation doesn't have yet enought potentials and ability to sustain the needs of the people. India is not yet that full of technologies like in the Americas. Well in fact technology is one of the most sophisticated and essential inventions ever created.",0.9988483906258998,train,india-has-the-potential-to-lead-the-world-
5,"No. I wouldn't be able to turn them in. If you truly love someone you would do anything to help them. Especially if it was an accident. <br/> Though, if he killed some one just because he felt like killing somone it may be a little different, because I wouldnt want him to go nuts and kill me too.",0.9947601773478438,train,if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in-
6,"If you want your kids to wear uniforms, go to a school that allows that. But don't go crying to me that your kids are underachieving, easily-distracted, derelicts that can't focus their attention for 5 minutes in class. <br/> Maybe I'm exaggerating. <br/> But my message is clear. Uniforms are here to prevent problems that not wearing uniforms would cause.",0.9696838832268097,train,is-the-school-uniform-a-good-or-bad-idea-
7,"I wouldn't live my life right if I never got to meet my father. I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic. Having a father means alot especially if your boy because most fathers are friends to, so you can talk to them about guy problems and they would understand the situation and with just living with your mother you couldn't because she's a woman and her views are different then a guy. Whether its a good or lousy father they will always be there for you at sometime in life.",0.9794725629066622,train,is-it-better-to-have-a-lousy-father-or-to-be-fatherless-
8,"God is abstract. He doesn't often show himself. In general, the idea of a god or gods is pretty hard to think about. <br/> Apes are concrete. You can see them. Generally, the whole ape concept is easy to get your hands around. <br/> It's funny that the supposedly unsophisticated ancients would all choose to believe in an abstract concept rather than a concrete one. If you asked Adam where he came from, why would he say ""God must have created me, I've seen Him around the garden"" instead of ""I was magically transformed from one of those apes over there""?",0.9933782460989233,train,evolution-vs-creation
9,Fire Fox doesn't allow some pop-ups on some websites like novanet. You need Internet explorer to install such websites,0.9835031957160131,train,firefox-vs-internet-explorer
10,You're just as much brainwashed as I am <br/> except you're the other side,0.8210974837335177,train,evolution-vs-creation
11,"FISH ARE DROWNING, THE FISH ARE DROWNING. <br/> Don't worryz potato U is not alone",0.7389877353601659,train,ban-plastic-water-bottles
12,You go to school with me and you are 14 years old lol.,0.46504865549605595,train,firefox-vs-internet-explorer
13,"As an ambitious, young person wanting to become a lawful, successful, homicide detective, I would not be lenient with any murderer in my midst. <br/> Hopefully, the murder wouldn't be the result of a pleasure/malicious-kill, so that the sentencing won't be as harsh, but nonetheless, all murderers must be tried. After all, hopefully my spouse will understand that having to live in hiding is basically the same as being in prison except much worse since there would be little chance for parole since they will have to live with the guilt and/or the fear of being caught for the rest of their lives.",0.9907583347728453,train,if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in-
14,Why should India lead the world???!!! <br/> Kill all the politicians first and India will be developed tomorrow.,0.8369896930961018,train,india-has-the-potential-to-lead-the-world-
15,"Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.",0.9984165371106123,train,christianity-or-atheism-
16,India surely has the potential to lead the world.........Dr Manmohan Singh is considered as the most qualified prime minister all over the world.........India has proved its potential in various fields and aspects............,0.9907007543041402,train,india-has-the-potential-to-lead-the-world-
17,"Actually you must know nothing about debate because what I am doing is called <br/> ""Cross Examining"" <br/> and it is a very common tactic for exposing holes in an opponent's position <br/> Also, Calling names never won a debate <br/> You just can't answer my questions and I'm sure that is frustrating for you",0.8769505383773823,train,evolution-vs-creation
18,"Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.",0.9943571140669086,train,christianity-or-atheism-
19,"Oops, I meant to say creationist version of evolution. My apologies.",0.8775839235331375,train,evolution-vs-creation
20,"India has the potential to lead because it has the second largest man power n third largest army in the world n it is a country full of hopes n aspirations n for Indians nothing is impossible, n we r proud to be Indians n we will lead the world n be the king of the world in every manner. even 34% scientists in NASA are Indians.",0.9924281683652905,train,india-has-the-potential-to-lead-the-world-
21,Why not both? Why can't God have created a way for evolution to happen. <br/> Who says that God did it himself? <br/> Who says that God didn't cause the Big Bang or evolution to occur? <br/> FINAL ANSWER: EVOLUTION THROUGH CREATION,0.9780330511890366,train,evolution-vs-creation
22,"This is being argued? The only thing IE has going for it is that Windows has it pre-installed, and from what I've heard, they're going to get rid of that too. Everything from speed to add-ons, Firefox wins.",0.9932630851615132,train,firefox-vs-internet-explorer
23,"Porn is definitely wrong. Porn is like an addiction to some people which is unhealthy and can lead to guilt and lust. An addiction to porn gives an unhealthy image of real sex. Porn promotes the fact that sex is totally based on pleasure, but it is actually based on love and affection also. Porn inspired numerous crimes that sometimes abuse the rights and virginity of many people.",0.9940692117233836,train,is-porn-wrong-
24,"Notmymuse, <br/> Give me one logical reason to believe Christianity. Just one. <br/> I have yet to see one gad damn shred of evidence for Christianity. I have also seen mountains of evidence to the contrary. <br/> Once you have discredited ALL evidence against Christianity, create an argument for Christianity with empirical fact (or a damn solid priori argument). <br/> Once you have done this, disprove ALL logical arguments against Christianity. <br/> Once you have done this, disprove all other religions. <br/> - <br/> Until such a time that you have done ALL of these things, it is illogical to believe in this bible bullshit.",0.9898658375079175,train,christianity-or-atheism-
25,"I would definetly turned her in. No matter what, it is murder. Nobody should commit murder, and plus she might be crazy and kill me, or kill someone else. I would have to live scared in my own house, because of her killing. because if I don't turn her in, someone eventually would find out about it, and I could be arrested too because of not telling. But it would be sad because she's your spouse, and you love her, so I rather preffer her never telling anyone, that makes my life easier.",0.986439799619969,train,if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in-
26,it shouldnt be about how we got here but why are we here.,0.8561639891748719,train,evolution-vs-creation
27,Students should be allowed to express them selves.. and with the uniform .. well they are all the same... thats boring.,0.9894915644613349,train,is-the-school-uniform-a-good-or-bad-idea-
28,"Well me personally I think advancement of the common good is better. I don't really know how to back this up, I just know its the way i feel about the topic. I guess because I'm not a selfish person at all when it comes to anything. I believe in sharing and helping others out. So if there's something i have to sacrifice personally for the advance of the common good, 9 times out of 10 I'm going to do it.",0.8960960442218001,train,personal-pursuit-or-advancing-the-common-good-
29,BOOKZ SUCK BECAUSE it iz harder To SPELL lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol lollollollollollollollollollollollollollollollol,0.7968848966430586,train,tv-is-better-than-books
30,"phy. ed is just another class. students should start to be responsible for their actions by the time they are in highschool. if they are responsible with a car, then they should be responsible with their health. the tax payers also dont realize that they are paying for students to go swimming or play the whole hour.",0.9825531179823805,train,should-physical-education-be-mandatory-in-schools-
